Date,Zone_ID,Estimated_Usage_Liters,No_of_Connections,Avg_LPCD
2024-01-06,Z0033,14479,164,88.29
2024-01-06,Z0020,20783,176,118.09
2024-01-06,Z0064,19248,294,65.47
2024-01-06,Z0099,16682,157,106.26
2024-01-06,Z0075,21026,199,105.66
2024-01-06,Z0042,30186,280,107.81
2024-01-06,Z0057,19938,173,115.25
2024-01-06,Z0055,19916,280,71.13
2024-01-06,Z0049,14577,164,88.89
2024-01-06,Z0072,16009,166,96.44
2024-01-07,Z0017,19996,233,85.82
2024-01-07,Z0050,21007,212,99.09
2024-01-07,Z0060,25381,266,95.42
2024-01-07,Z0076,17375,221,78.62
2024-01-07,Z0003,19421,221,87.88
2024-01-07,Z0109,17834,213,83.73
2024-01-07,Z0001,25207,244,103.31
2024-01-07,Z0011,16272,160,101.7
2024-01-07,Z0108,21323,182,117.16
2024-01-07,Z0043,29486,285,103.46
2024-01-07,Z0026,16296,237,68.76
2024-01-07,Z0093,26820,225,119.2
2024-01-07,Z0024,20367,229,88.94
2024-01-07,Z0019,24618,241,102.15
2024-01-07,Z0088,22400,246,91.06
2024-01-07,Z0077,20556,182,112.95
2024-01-07,Z0040,14624,226,64.71
2024-01-07,Z0107,23719,299,79.33
2024-01-07,Z0008,18156,252,72.05
2024-01-07,Z0009,29278,271,108.04
2024-01-07,Z0111,17862,255,70.05
2024-01-07,Z0103,23183,198,117.09
2024-01-07,Z0061,21501,210,102.39
2024-01-07,Z0028,27080,283,95.69
2024-01-07,Z0029,14012,222,63.12
2024-01-07,Z0037,19482,190,102.54
2024-01-07,Z0074,18343,157,116.84
2024-01-07,Z0051,26052,241,108.1
2024-01-07,Z0098,20412,211,96.74
2024-01-07,Z0073,17887,276,64.81
2024-01-07,Z0083,21710,233,93.18
2024-01-07,Z0053,30858,283,109.04
2024-01-07,Z0104,27216,276,98.61
2024-01-07,Z0045,13269,190,69.84
2024-01-07,Z0105,10578,163,64.9
2024-01-07,Z0089,12047,161,74.83
2024-01-07,Z0069,25740,290,88.76
2024-01-07,Z0002,21609,271,79.74
2024-01-07,Z0046,26060,249,104.66
2024-01-07,Z0034,23053,268,86.02
2024-01-07,Z0025,16270,181,89.89
2024-01-07,Z0100,14148,231,61.25
2024-01-07,Z0091,23902,299,79.94
2024-01-07,Z0006,24290,205,118.49
2024-01-07,Z0062,18169,280,64.89
2024-01-07,Z0092,13474,184,73.23
2024-01-07,Z0059,27165,246,110.43
2024-01-07,Z0110,22195,198,112.1
2024-01-07,Z0068,14796,173,85.53
2024-01-07,Z0101,15930,153,104.12
2024-01-07,Z0018,32796,275,119.26
2024-01-07,Z0070,22291,199,112.02
2024-01-07,Z0065,23343,245,95.28
2024-01-07,Z0058,22272,266,83.73
2024-01-07,Z0067,20609,215,95.86
2024-01-07,Z0048,15391,155,99.3
2024-01-07,Z0031,20335,264,77.03
2024-01-07,Z0086,19903,274,72.64
2024-01-07,Z0052,16347,167,97.89
2024-01-07,Z0030,21651,292,74.15
2024-01-07,Z0080,18016,175,102.95
2024-01-07,Z0084,23116,236,97.95
2024-01-07,Z0032,19279,163,118.28
2024-01-07,Z0078,22721,268,84.78
2024-01-07,Z0005,14217,190,74.83
2024-01-07,Z0007,17618,209,84.3
2024-01-07,Z0012,14815,163,90.89
2024-01-07,Z0021,22270,233,95.58
2024-01-07,Z0039,21709,219,99.13
2024-01-07,Z0054,28122,238,118.16
2024-01-07,Z0047,23968,215,111.48
2024-01-07,Z0016,12244,154,79.51
2024-01-07,Z0014,14398,194,74.22
2024-01-07,Z0004,13348,180,74.16
2024-01-07,Z0015,18740,267,70.19
2024-01-07,Z0106,19413,242,80.22
2024-01-07,Z0056,16706,243,68.75
2024-01-07,Z0102,21127,282,74.92
2024-01-07,Z0013,11272,150,75.15
2024-01-07,Z0010,18706,267,70.06
2024-01-07,Z0094,26009,270,96.33
2024-01-07,Z0044,21908,198,110.65
2024-01-07,Z0066,16748,193,86.78
2024-01-07,Z0097,29146,260,112.1
2024-01-07,Z0087,23744,257,92.39
2024-01-07,Z0071,22625,297,76.18
2024-01-07,Z0112,18799,279,67.38
2024-01-07,Z0038,21613,186,116.2
2024-01-07,Z0085,17515,178,98.4
2024-01-07,Z0035,16031,184,87.13
2024-01-07,Z0090,16425,208,78.97
2024-01-07,Z0063,11092,161,68.9
2024-01-07,Z0095,11719,192,61.04
2024-01-07,Z0027,23559,199,118.39
2024-01-07,Z0023,16408,188,87.28
2024-01-07,Z0022,12787,187,68.38
2024-01-07,Z0096,18824,277,67.96
2024-01-07,Z0036,20558,201,102.28
2024-01-07,Z0041,27411,273,100.41
2024-01-07,Z0081,15357,234,65.63
2024-01-07,Z0082,10891,157,69.37
2024-01-07,Z0079,28134,251,112.09
2024-01-07,Z0033,17700,235,75.32
2024-01-07,Z0020,24218,204,118.72
2024-01-07,Z0064,19632,263,74.65
2024-01-07,Z0099,19622,175,112.13
2024-01-07,Z0075,16196,262,61.82
2024-01-07,Z0042,23808,221,107.73
2024-01-07,Z0057,17479,182,96.04
2024-01-07,Z0055,17915,180,99.53
2024-01-07,Z0049,20204,202,100.02
2024-01-07,Z0072,16865,254,66.4
2024-01-08,Z0017,25149,212,118.63
2024-01-08,Z0050,26715,238,112.25
2024-01-08,Z0060,14525,222,65.43
2024-01-08,Z0076,21489,217,99.03
2024-01-08,Z0003,19984,251,79.62
2024-01-08,Z0109,21658,251,86.29
2024-01-08,Z0001,26026,231,112.67
2024-01-08,Z0011,14814,172,86.13
2024-01-08,Z0108,18488,224,82.54
2024-01-08,Z0043,20084,203,98.94
2024-01-08,Z0026,28560,292,97.81
2024-01-08,Z0093,29705,292,101.73
2024-01-08,Z0024,19418,209,92.91
2024-01-08,Z0019,18362,198,92.74
2024-01-08,Z0088,13549,184,73.64
2024-01-08,Z0077,15393,160,96.21
2024-01-08,Z0040,25524,259,98.55
2024-01-08,Z0107,13080,158,82.79
2024-01-08,Z0008,20490,175,117.09
2024-01-08,Z0009,28948,266,108.83
2024-01-08,Z0111,11099,161,68.94
2024-01-08,Z0103,18677,197,94.81
2024-01-08,Z0061,17099,193,88.6
2024-01-08,Z0028,20330,192,105.89
2024-01-08,Z0029,22953,219,104.81
2024-01-08,Z0037,30153,257,117.33
2024-01-08,Z0074,12197,170,71.75
2024-01-08,Z0051,22636,229,98.85
2024-01-08,Z0098,32017,273,117.28
2024-01-08,Z0073,21389,185,115.62
2024-01-08,Z0083,11780,164,71.83
2024-01-08,Z0053,23519,290,81.1
2024-01-08,Z0104,12806,183,69.98
2024-01-08,Z0045,20505,266,77.09
2024-01-08,Z0105,20377,176,115.78
2024-01-08,Z0089,17454,184,94.86
2024-01-08,Z0069,24638,255,96.62
2024-01-08,Z0002,24777,295,83.99
2024-01-08,Z0046,19167,226,84.81
2024-01-08,Z0034,21741,238,91.35
2024-01-08,Z0025,15735,156,100.87
2024-01-08,Z0100,24081,223,107.99
2024-01-08,Z0091,17098,220,77.72
2024-01-08,Z0006,21978,191,115.07
2024-01-08,Z0062,20739,233,89.01
2024-01-08,Z0092,16994,156,108.94
2024-01-08,Z0059,24637,269,91.59
2024-01-08,Z0110,22947,196,117.08
2024-01-08,Z0068,26339,268,98.28
2024-01-08,Z0101,19218,170,113.05
2024-01-08,Z0018,30779,286,107.62
2024-01-08,Z0070,15852,164,96.66
2024-01-08,Z0065,22127,271,81.65
2024-01-08,Z0058,23470,221,106.2
2024-01-08,Z0067,14693,198,74.21
2024-01-08,Z0048,14530,186,78.12
2024-01-08,Z0031,18659,168,111.07
2024-01-08,Z0086,15643,238,65.73
2024-01-08,Z0052,15277,218,70.08
2024-01-08,Z0030,28724,257,111.77
2024-01-08,Z0080,24688,268,92.12
2024-01-08,Z0084,18364,299,61.42
2024-01-08,Z0032,21552,292,73.81
2024-01-08,Z0078,11827,160,73.92
2024-01-08,Z0005,22227,227,97.92
2024-01-08,Z0007,11546,151,76.47
2024-01-08,Z0012,15866,156,101.71
2024-01-08,Z0021,18696,216,86.56
2024-01-08,Z0039,28238,274,103.06
2024-01-08,Z0054,11712,173,67.7
2024-01-08,Z0047,16159,168,96.19
2024-01-08,Z0016,23769,251,94.7
2024-01-08,Z0014,16710,258,64.77
2024-01-08,Z0004,23554,246,95.75
2024-01-08,Z0015,17626,222,79.4
2024-01-08,Z0106,21925,272,80.61
2024-01-08,Z0056,14764,162,91.14
2024-01-08,Z0102,27950,279,100.18
2024-01-08,Z0013,17320,176,98.41
2024-01-08,Z0010,17709,157,112.8
2024-01-08,Z0094,20061,199,100.81
2024-01-08,Z0044,15335,193,79.46
2024-01-08,Z0066,10855,152,71.42
2024-01-08,Z0097,33382,279,119.65
2024-01-08,Z0087,12348,151,81.78
2024-01-08,Z0071,19106,184,103.84
2024-01-08,Z0112,14321,179,80.01
2024-01-08,Z0038,28028,299,93.74
2024-01-08,Z0085,21774,185,117.7
2024-01-08,Z0035,18952,180,105.29
2024-01-08,Z0090,18798,204,92.15
2024-01-08,Z0063,29513,270,109.31
2024-01-08,Z0095,13016,161,80.85
2024-01-08,Z0027,34353,289,118.87
2024-01-08,Z0023,17575,152,115.63
2024-01-08,Z0022,14441,172,83.96
2024-01-08,Z0096,15483,253,61.2
2024-01-08,Z0036,26848,253,106.12
2024-01-08,Z0041,23651,214,110.52
2024-01-08,Z0081,19542,298,65.58
2024-01-08,Z0082,19539,299,65.35
2024-01-08,Z0079,12246,181,67.66
2024-01-08,Z0033,14917,165,90.41
2024-01-08,Z0020,19514,291,67.06
2024-01-08,Z0064,21171,263,80.5
2024-01-08,Z0099,16576,254,65.26
2024-01-08,Z0075,24532,224,109.52
2024-01-08,Z0042,14220,204,69.71
2024-01-08,Z0057,26856,299,89.82
2024-01-08,Z0055,22087,235,93.99
2024-01-08,Z0049,18650,161,115.84
2024-01-08,Z0072,17644,191,92.38
2024-01-09,Z0017,18484,184,100.46
2024-01-09,Z0050,19379,283,68.48
2024-01-09,Z0060,12211,156,78.28
2024-01-09,Z0076,17615,222,79.35
2024-01-09,Z0003,14884,215,69.23
2024-01-09,Z0109,15950,169,94.38
2024-01-09,Z0001,17386,159,109.35
2024-01-09,Z0011,15444,174,88.76
2024-01-09,Z0108,20997,182,115.37
2024-01-09,Z0043,11141,163,68.35
2024-01-09,Z0026,24248,229,105.89
2024-01-09,Z0093,21659,274,79.05
2024-01-09,Z0024,19464,283,68.78
2024-01-09,Z0019,17904,266,67.31
2024-01-09,Z0088,18341,298,61.55
2024-01-09,Z0077,12867,174,73.95
2024-01-09,Z0040,18989,161,117.95
2024-01-09,Z0107,23436,245,95.66
2024-01-09,Z0008,16266,180,90.37
2024-01-09,Z0009,22617,295,76.67
2024-01-09,Z0111,16985,283,60.02
2024-01-09,Z0103,18658,192,97.18
2024-01-09,Z0061,17115,209,81.89
2024-01-09,Z0028,11462,180,63.68
2024-01-09,Z0029,11560,159,72.71
2024-01-09,Z0037,32914,275,119.69
2024-01-09,Z0074,15957,205,77.84
2024-01-09,Z0051,16295,232,70.24
2024-01-09,Z0098,20049,298,67.28
2024-01-09,Z0073,18656,264,70.67
2024-01-09,Z0083,18675,293,63.74
2024-01-09,Z0053,14992,153,97.99
2024-01-09,Z0104,20570,189,108.84
2024-01-09,Z0045,18459,252,73.25
2024-01-09,Z0105,19967,201,99.34
2024-01-09,Z0089,22796,212,107.53
2024-01-09,Z0069,20939,211,99.24
2024-01-09,Z0002,14278,156,91.53
2024-01-09,Z0046,11509,163,70.61
2024-01-09,Z0034,27690,235,117.83
2024-01-09,Z0025,18980,279,68.03
2024-01-09,Z0100,18222,298,61.15
2024-01-09,Z0091,21644,228,94.93
2024-01-09,Z0006,14775,207,71.38
2024-01-09,Z0062,20560,282,72.91
2024-01-09,Z0092,14756,231,63.88
2024-01-09,Z0059,25130,288,87.26
2024-01-09,Z0110,15267,201,75.96
2024-01-09,Z0068,23751,266,89.29
2024-01-09,Z0101,14544,183,79.48
2024-01-09,Z0018,20457,231,88.56
2024-01-09,Z0070,20456,191,107.1
2024-01-09,Z0065,19717,290,67.99
2024-01-09,Z0058,16520,166,99.52
2024-01-09,Z0067,30171,278,108.53
2024-01-09,Z0048,14830,197,75.28
2024-01-09,Z0031,18415,159,115.82
2024-01-09,Z0086,18616,170,109.51
2024-01-09,Z0052,15221,183,83.18
2024-01-09,Z0030,25846,228,113.36
2024-01-09,Z0080,21499,236,91.1
2024-01-09,Z0084,22726,218,104.25
2024-01-09,Z0032,23791,236,100.81
2024-01-09,Z0078,14075,226,62.28
2024-01-09,Z0005,24303,236,102.98
2024-01-09,Z0007,27897,258,108.13
2024-01-09,Z0012,19486,166,117.39
2024-01-09,Z0021,14154,170,83.26
2024-01-09,Z0039,30950,259,119.5
2024-01-09,Z0054,34029,292,116.54
2024-01-09,Z0047,14388,177,81.29
2024-01-09,Z0016,14318,154,92.98
2024-01-09,Z0014,15709,245,64.12
2024-01-09,Z0004,17581,287,61.26
2024-01-09,Z0015,30816,261,118.07
2024-01-09,Z0106,30252,285,106.15
2024-01-09,Z0056,18408,222,82.92
2024-01-09,Z0102,14913,198,75.32
2024-01-09,Z0013,23106,217,106.48
2024-01-09,Z0010,24037,271,88.7
2024-01-09,Z0094,20863,263,79.33
2024-01-09,Z0044,25564,289,88.46
2024-01-09,Z0066,14512,151,96.11
2024-01-09,Z0097,22265,244,91.25
2024-01-09,Z0087,17989,181,99.39
2024-01-09,Z0071,10019,160,62.62
2024-01-09,Z0112,19204,166,115.69
2024-01-09,Z0038,19346,208,93.01
2024-01-09,Z0085,30660,263,116.58
2024-01-09,Z0035,16246,181,89.76
2024-01-09,Z0090,25872,262,98.75
2024-01-09,Z0063,29528,271,108.96
2024-01-09,Z0095,30219,268,112.76
2024-01-09,Z0027,18537,161,115.14
2024-01-09,Z0023,16392,167,98.16
2024-01-09,Z0022,35372,298,118.7
2024-01-09,Z0096,20223,195,103.71
2024-01-09,Z0036,20118,284,70.84
2024-01-09,Z0041,24719,235,105.19
2024-01-09,Z0081,27665,238,116.24
2024-01-09,Z0082,18455,178,103.68
2024-01-09,Z0079,10252,151,67.9
2024-01-09,Z0033,20752,176,117.91
2024-01-09,Z0020,19087,237,80.54
2024-01-09,Z0064,15822,171,92.53
2024-01-09,Z0099,22263,246,90.5
2024-01-09,Z0075,25071,267,93.9
2024-01-09,Z0042,20119,179,112.4
2024-01-09,Z0057,29283,260,112.63
2024-01-09,Z0055,18109,260,69.65
2024-01-09,Z0049,31852,293,108.71
2024-01-09,Z0072,26622,257,103.59
2024-01-10,Z0017,18531,281,65.95
2024-01-10,Z0050,23004,213,108.0
2024-01-10,Z0060,16621,159,104.54
2024-01-10,Z0076,18907,195,96.96
2024-01-10,Z0003,17483,215,81.32
2024-01-10,Z0109,14955,162,92.32
2024-01-10,Z0001,26056,235,110.88
2024-01-10,Z0011,12858,207,62.12
2024-01-10,Z0108,17110,163,104.97
2024-01-10,Z0043,27189,270,100.7
2024-01-10,Z0026,20196,293,68.93
2024-01-10,Z0093,24659,219,112.6
2024-01-10,Z0024,16870,250,67.48
2024-01-10,Z0019,22599,260,86.92
2024-01-10,Z0088,18052,169,106.82
2024-01-10,Z0077,18559,186,99.78
2024-01-10,Z0040,20653,203,101.74
2024-01-10,Z0107,18398,298,61.74
2024-01-10,Z0008,10844,153,70.88
2024-01-10,Z0009,14219,169,84.14
2024-01-10,Z0111,19549,220,88.86
2024-01-10,Z0103,16854,163,103.4
2024-01-10,Z0061,16838,229,73.53
2024-01-10,Z0028,17750,281,63.17
2024-01-10,Z0029,17402,173,100.59
2024-01-10,Z0037,22206,231,96.13
2024-01-10,Z0074,16579,209,79.33
2024-01-10,Z0051,13699,212,64.62
2024-01-10,Z0098,30414,299,101.72
2024-01-10,Z0073,24095,225,107.09
2024-01-10,Z0083,28547,266,107.32
2024-01-10,Z0053,14516,168,86.41
2024-01-10,Z0104,19364,243,79.69
2024-01-10,Z0045,24275,295,82.29
2024-01-10,Z0105,25123,262,95.89
2024-01-10,Z0089,23500,196,119.9
2024-01-10,Z0069,26312,267,98.55
2024-01-10,Z0002,28885,294,98.25
2024-01-10,Z0046,31820,297,107.14
2024-01-10,Z0034,24700,292,84.59
2024-01-10,Z0025,23796,227,104.83
2024-01-10,Z0100,23766,252,94.31
2024-01-10,Z0091,21148,293,72.18
2024-01-10,Z0006,24943,210,118.78
2024-01-10,Z0062,9358,152,61.57
2024-01-10,Z0092,24929,262,95.15
2024-01-10,Z0059,20393,267,76.38
2024-01-10,Z0110,26629,230,115.78
2024-01-10,Z0068,23288,200,116.44
2024-01-10,Z0101,15783,184,85.78
2024-01-10,Z0018,24093,218,110.52
2024-01-10,Z0070,17049,198,86.11
2024-01-10,Z0065,15763,154,102.36
2024-01-10,Z0058,15496,239,64.84
2024-01-10,Z0067,16880,188,89.79
2024-01-10,Z0048,29693,278,106.81
2024-01-10,Z0031,26376,249,105.93
2024-01-10,Z0086,14186,209,67.88
2024-01-10,Z0052,21646,206,105.08
2024-01-10,Z0030,11248,185,60.8
2024-01-10,Z0080,16108,257,62.68
2024-01-10,Z0084,17789,235,75.7
2024-01-10,Z0032,12220,163,74.97
2024-01-10,Z0078,18839,229,82.27
2024-01-10,Z0005,28225,255,110.69
2024-01-10,Z0007,13998,219,63.92
2024-01-10,Z0012,21570,194,111.19
2024-01-10,Z0021,16322,256,63.76
2024-01-10,Z0039,17497,256,68.35
2024-01-10,Z0054,10169,156,65.19
2024-01-10,Z0047,17902,292,61.31
2024-01-10,Z0016,20100,297,67.68
2024-01-10,Z0014,18815,298,63.14
2024-01-10,Z0004,20339,269,75.61
2024-01-10,Z0015,18472,206,89.67
2024-01-10,Z0106,12816,170,75.39
2024-01-10,Z0056,28982,280,103.51
2024-01-10,Z0102,17392,198,87.84
2024-01-10,Z0013,27803,238,116.82
2024-01-10,Z0010,23400,289,80.97
2024-01-10,Z0094,19556,266,73.52
2024-01-10,Z0044,22226,220,101.03
2024-01-10,Z0066,16634,182,91.4
2024-01-10,Z0097,15464,210,73.64
2024-01-10,Z0087,18296,177,103.37
2024-01-10,Z0071,21838,235,92.93
2024-01-10,Z0112,16030,247,64.9
2024-01-10,Z0038,22002,247,89.08
2024-01-10,Z0085,16019,234,68.46
2024-01-10,Z0035,18981,171,111.0
2024-01-10,Z0090,14157,215,65.85
2024-01-10,Z0063,24820,293,84.71
2024-01-10,Z0095,28759,274,104.96
2024-01-10,Z0027,14341,225,63.74
2024-01-10,Z0023,20267,187,108.38
2024-01-10,Z0022,34061,287,118.68
2024-01-10,Z0096,19046,212,89.84
2024-01-10,Z0036,13669,181,75.52
2024-01-10,Z0041,15664,169,92.69
2024-01-10,Z0081,22873,217,105.41
2024-01-10,Z0082,21108,292,72.29
2024-01-10,Z0079,25711,228,112.77
2024-01-10,Z0033,18154,241,75.33
2024-01-10,Z0020,23857,274,87.07
2024-01-10,Z0064,21743,207,105.04
2024-01-10,Z0099,16147,262,61.63
2024-01-10,Z0075,32074,280,114.55
2024-01-10,Z0042,20526,246,83.44
2024-01-10,Z0057,12759,155,82.32
2024-01-10,Z0055,18804,172,109.33
2024-01-10,Z0049,25592,296,86.46
2024-01-10,Z0072,11556,160,72.23
2024-01-11,Z0017,14637,223,65.64
2024-01-11,Z0050,17985,190,94.66
2024-01-11,Z0060,18425,234,78.74
2024-01-11,Z0076,23955,286,83.76
2024-01-11,Z0003,23076,253,91.21
2024-01-11,Z0109,21265,209,101.75
2024-01-11,Z0001,11263,161,69.96
2024-01-11,Z0011,25517,229,111.43
2024-01-11,Z0108,17302,152,113.83
2024-01-11,Z0043,30466,256,119.01
2024-01-11,Z0026,17236,278,62.0
2024-01-11,Z0093,17841,157,113.64
2024-01-11,Z0024,29817,273,109.22
2024-01-11,Z0019,21605,250,86.42
2024-01-11,Z0088,16837,259,65.01
2024-01-11,Z0077,12137,181,67.06
2024-01-11,Z0040,26009,288,90.31
2024-01-11,Z0107,19684,165,119.3
2024-01-11,Z0008,30714,258,119.05
2024-01-11,Z0009,17596,170,103.51
2024-01-11,Z0111,18332,153,119.82
2024-01-11,Z0103,14503,208,69.73
2024-01-11,Z0061,17812,176,101.21
2024-01-11,Z0028,25659,280,91.64
2024-01-11,Z0029,19032,174,109.38
2024-01-11,Z0037,22753,275,82.74
2024-01-11,Z0074,17244,158,109.14
2024-01-11,Z0051,29038,283,102.61
2024-01-11,Z0098,23832,270,88.27
2024-01-11,Z0073,22502,257,87.56
2024-01-11,Z0083,31581,280,112.79
2024-01-11,Z0053,12606,179,70.43
2024-01-11,Z0104,11352,170,66.78
2024-01-11,Z0045,14801,183,80.88
2024-01-11,Z0105,24238,231,104.93
2024-01-11,Z0089,16728,172,97.26
2024-01-11,Z0069,31179,299,104.28
2024-01-11,Z0002,22687,257,88.28
2024-01-11,Z0046,12339,164,75.24
2024-01-11,Z0034,12299,182,67.58
2024-01-11,Z0025,10952,165,66.38
2024-01-11,Z0100,13816,196,70.49
2024-01-11,Z0091,21868,297,73.63
2024-01-11,Z0006,15250,236,64.62
2024-01-11,Z0062,21956,216,101.65
2024-01-11,Z0092,15350,196,78.32
2024-01-11,Z0059,10538,170,61.99
2024-01-11,Z0110,22477,266,84.5
2024-01-11,Z0068,33238,291,114.22
2024-01-11,Z0101,31152,294,105.96
2024-01-11,Z0018,15760,248,63.55
2024-01-11,Z0070,30209,264,114.43
2024-01-11,Z0065,20013,240,83.39
2024-01-11,Z0058,17085,195,87.62
2024-01-11,Z0067,20642,249,82.9
2024-01-11,Z0048,15597,184,84.77
2024-01-11,Z0031,20143,227,88.74
2024-01-11,Z0086,16380,262,62.52
2024-01-11,Z0052,14606,237,61.63
2024-01-11,Z0030,19276,251,76.8
2024-01-11,Z0080,27461,232,118.37
2024-01-11,Z0084,29467,280,105.24
2024-01-11,Z0032,10811,177,61.08
2024-01-11,Z0078,21401,220,97.28
2024-01-11,Z0005,17380,222,78.29
2024-01-11,Z0007,24645,268,91.96
2024-01-11,Z0012,18878,168,112.37
2024-01-11,Z0021,21275,291,73.11
2024-01-11,Z0039,13460,210,64.1
2024-01-11,Z0054,11235,179,62.77
2024-01-11,Z0047,20721,269,77.03
2024-01-11,Z0016,27906,291,95.9
2024-01-11,Z0014,23741,227,104.59
2024-01-11,Z0004,24440,217,112.63
2024-01-11,Z0015,15110,151,100.07
2024-01-11,Z0106,20828,259,80.42
2024-01-11,Z0056,19131,269,71.12
2024-01-11,Z0102,12271,165,74.37
2024-01-11,Z0013,20205,262,77.12
2024-01-11,Z0010,15290,161,94.97
2024-01-11,Z0094,22865,213,107.35
2024-01-11,Z0044,19018,298,63.82
2024-01-11,Z0066,12372,169,73.21
2024-01-11,Z0097,28642,286,100.15
2024-01-11,Z0087,13163,214,61.51
2024-01-11,Z0071,20255,236,85.83
2024-01-11,Z0112,25794,225,114.64
2024-01-11,Z0038,13377,196,68.25
2024-01-11,Z0085,33610,296,113.55
2024-01-11,Z0035,16995,242,70.23
2024-01-11,Z0090,16639,170,97.88
2024-01-11,Z0063,18138,169,107.33
2024-01-11,Z0095,28265,281,100.59
2024-01-11,Z0027,15966,241,66.25
2024-01-11,Z0023,32055,299,107.21
2024-01-11,Z0022,21412,216,99.13
2024-01-11,Z0096,25108,240,104.62
2024-01-11,Z0036,11421,150,76.14
2024-01-11,Z0041,17590,155,113.49
2024-01-11,Z0081,18342,294,62.39
2024-01-11,Z0082,9724,155,62.74
2024-01-11,Z0079,21184,285,74.33
2024-01-11,Z0033,30163,255,118.29
2024-01-11,Z0020,21387,242,88.38
2024-01-11,Z0064,17798,248,71.77
2024-01-11,Z0099,15980,184,86.85
2024-01-11,Z0075,16873,233,72.42
2024-01-11,Z0042,26743,290,92.22
2024-01-11,Z0057,11971,198,60.46
2024-01-11,Z0055,17727,285,62.2
2024-01-11,Z0049,21045,273,77.09
2024-01-11,Z0072,20334,188,108.16
2024-01-12,Z0017,17683,211,83.81
2024-01-12,Z0050,23529,203,115.91
2024-01-12,Z0060,17222,158,109.0
2024-01-12,Z0076,19209,198,97.02
2024-01-12,Z0003,21780,237,91.9
2024-01-12,Z0109,18811,208,90.44
2024-01-12,Z0001,11738,190,61.78
2024-01-12,Z0011,10030,160,62.69
2024-01-12,Z0108,19552,288,67.89
2024-01-12,Z0043,13632,195,69.91
2024-01-12,Z0026,26674,257,103.79
2024-01-12,Z0093,25295,221,114.46
2024-01-12,Z0024,24889,258,96.47
2024-01-12,Z0019,20003,194,103.11
2024-01-12,Z0088,17547,157,111.77
2024-01-12,Z0077,24319,236,103.05
2024-01-12,Z0040,23579,233,101.2
2024-01-12,Z0107,18017,217,83.03
2024-01-12,Z0008,27533,276,99.76
2024-01-12,Z0009,28350,296,95.78
2024-01-12,Z0111,26566,233,114.02
2024-01-12,Z0103,14582,225,64.81
2024-01-12,Z0061,30657,292,104.99
2024-01-12,Z0028,15116,151,100.11
2024-01-12,Z0029,25092,254,98.79
2024-01-12,Z0037,19124,200,95.62
2024-01-12,Z0074,14330,159,90.13
2024-01-12,Z0051,22960,200,114.8
2024-01-12,Z0098,18700,270,69.26
2024-01-12,Z0073,15722,152,103.44
2024-01-12,Z0083,30363,266,114.15
2024-01-12,Z0053,25771,280,92.04
2024-01-12,Z0104,20638,189,109.2
2024-01-12,Z0045,12509,161,77.7
2024-01-12,Z0105,13922,214,65.06
2024-01-12,Z0089,16845,250,67.38
2024-01-12,Z0069,14446,198,72.96
2024-01-12,Z0002,18748,172,109.0
2024-01-12,Z0046,20708,187,110.74
2024-01-12,Z0034,21964,256,85.8
2024-01-12,Z0025,16035,248,64.66
2024-01-12,Z0100,17400,222,78.38
2024-01-12,Z0091,25858,271,95.42
2024-01-12,Z0006,27730,257,107.9
2024-01-12,Z0062,24067,228,105.56
2024-01-12,Z0092,13610,172,79.13
2024-01-12,Z0059,11965,197,60.74
2024-01-12,Z0110,12699,206,61.65
2024-01-12,Z0068,27654,273,101.3
2024-01-12,Z0101,12811,183,70.01
2024-01-12,Z0018,10695,156,68.56
2024-01-12,Z0070,21670,205,105.71
2024-01-12,Z0065,13576,196,69.27
2024-01-12,Z0058,28971,295,98.21
2024-01-12,Z0067,26334,275,95.76
2024-01-12,Z0048,26365,262,100.63
2024-01-12,Z0031,20027,218,91.87
2024-01-12,Z0086,25124,265,94.81
2024-01-12,Z0052,14192,214,66.32
2024-01-12,Z0030,17928,262,68.43
2024-01-12,Z0080,16068,218,73.71
2024-01-12,Z0084,21408,237,90.33
2024-01-12,Z0032,15265,224,68.15
2024-01-12,Z0078,21319,256,83.28
2024-01-12,Z0005,12280,200,61.4
2024-01-12,Z0007,14314,208,68.82
2024-01-12,Z0012,12136,179,67.8
2024-01-12,Z0021,18148,271,66.97
2024-01-12,Z0039,21523,273,78.84
2024-01-12,Z0054,20449,236,86.65
2024-01-12,Z0047,18303,167,109.6
2024-01-12,Z0016,17105,262,65.29
2024-01-12,Z0014,24475,208,117.67
2024-01-12,Z0004,24440,294,83.13
2024-01-12,Z0015,15814,171,92.48
2024-01-12,Z0106,18204,198,91.94
2024-01-12,Z0056,27273,258,105.71
2024-01-12,Z0102,30004,272,110.31
2024-01-12,Z0013,21879,280,78.14
2024-01-12,Z0010,18493,258,71.68
2024-01-12,Z0094,18848,234,80.55
2024-01-12,Z0044,20058,170,117.99
2024-01-12,Z0066,23357,252,92.69
2024-01-12,Z0097,26362,278,94.83
2024-01-12,Z0087,20756,173,119.98
2024-01-12,Z0071,28295,290,97.57
2024-01-12,Z0112,20862,288,72.44
2024-01-12,Z0038,17275,166,104.07
2024-01-12,Z0085,22499,231,97.4
2024-01-12,Z0035,12109,168,72.08
2024-01-12,Z0090,16117,234,68.88
2024-01-12,Z0063,13633,154,88.53
2024-01-12,Z0095,19667,267,73.66
2024-01-12,Z0027,20358,213,95.58
